kind        base_price  duration    count   brown   yellow  blue    white   green   mauve   red     black
----------- ----------- ----------- ------- ------- ------- ------- ------- ------- ------- ------- -----
mix         5           10          4       1       1       1       1       1       0       0       0
mix         10          10          4       0       1       1       1       1       1       0       0
sorted      5           10          4       5       0       0       0       0       0       0       0
sorted      10          5           2       0       5       0       0       0       0       0       0

sorted      15          5           2       0       0       5       0       0       0       0       0
sorted      0           10          2       0       0       0       5       0       0       0       0
sorted      10          5           2       0       0       0       0       5       0       0       0
sorted      20          10          2       0       0       0       0       0       3       0       0
sorted      50          10          2       0       0       0       0       0       0       0       1
