type            price   operating_cost  lifetime    count   capacity    brown   yellow  blue    white   green   mauve   red     black
--------------- ------- --------------- ----------- ------- ----------- ------- ------- ------- ------- ------- ------- ------- -----
storage         20      5               -           2       10          y       y       y       y       y       n       n       n
storage         10      4               -           2       20          y       n       n       n       n       n       n       n
storage         10      3               -           2       10          n       y       n       n       n       n       n       n
storage         10      2               -           2       10          n       n       y       n       n       n       n       n
storage         10      4               -           2       10          n       n       n       y       n       n       n       n
storage         10      2               -           2       10          n       n       n       n       y       n       n       n
storage         10      2               -           2       5           n       n       n       n       n       y       n       n
storage         50      10              -           2       5           n       n       n       n       n       n       n       y
decontamination 20      2               ?           3       2           n       n       n       n       n       y       n       n
incineration    10      2               ?           3       2           y       y       y       n       y       n       n       n
incineration    30      1               ?           3       5           y       n       n       n       n       n       n       n
recycling       10      1               ?           3       3           n       y       n       n       n       n       n       n
recycling       30      2               ?           3       6           n       n       y       n       n       n       n       n
recycling       20      2               ?           3       3           n       n       n       y       n       n       n       n
recycling       10      0               ?           3       2           n       n       n       n       y       n       n       n
